link,listed,address,price,bedrooms,bathrooms,area (m2),latitude,longitude
https://www.realestate.co.nz/42724213/residential/sale/7-torquay-terrace-newtown,2 days ago,"7 Torquay Terrace, Newtown",Tender,3.0,1.0,239.0,,
https://www.realestate.co.nz/42724207/residential/sale/341-riverside-drive-fairfield,2 days ago,"341 Riverside Drive, Fairfield",Tender,3.0,1.0,562.0,,
https://www.realestate.co.nz/42724205/residential/sale/17-kerkwall-drive-naenae,2 days ago,"17 Kerkwall Drive, Naenae","Buyer Enquiry Over $685,000",4.0,1.0,1140.0,,
https://www.realestate.co.nz/42724198/residential/sale/78-80-hereford-street-cannons-creek,2 days ago,"78-80 Hereford Street, Cannons Creek",Auction,6.0,2.0,621.0,,
https://www.realestate.co.nz/42724186/residential/sale/17-10-pascoe-avenue-paremata,2 days ago,"17/10 Pascoe Avenue, Paremata","Offers Over $849,000",2.0,2.0,118.0,,
https://www.realestate.co.nz/42724177/residential/sale/27-lyndfield-lane-newlands,2 days ago,"27 Lyndfield Lane, Newlands",Deadline Sale,4.0,2.0,809.0,,
https://www.realestate.co.nz/42724172/residential/sale/192-cambridge-terrace-naenae,2 days ago,"192 Cambridge Terrace, Naenae",Negotiation,4.0,3.0,586.0,,
https://www.realestate.co.nz/42724168/residential/sale/7-nikau-lane-timberlea,2 days ago,"7 Nikau Lane, Timberlea",Negotiation,,,704.0,,
https://www.realestate.co.nz/42724167/residential/sale/17-st-albans-grove-woburn,2 days ago,"17 St Albans Grove, Woburn",Deadline Sale,4.0,2.0,604.0,,
https://www.realestate.co.nz/42724166/residential/sale/2-oaklands-grove-clouston-park,2 days ago,"2 Oaklands Grove, Clouston Park","Offers Over $629,000",4.0,2.0,1021.0,,
https://www.realestate.co.nz/42724160/residential/sale/12-171-waerenga-road-otaki,2 days ago,"12/171 Waerenga Road, Otaki","$635,000",2.0,1.0,,,
https://www.realestate.co.nz/42724154/residential/sale/62-64-oakum-road-whitby,2 days ago,"62 & 64 Oakum Road, Whitby","Buyer Enquiry Over $385,000",,,298.0,,
https://www.realestate.co.nz/42724147/residential/sale/3-hector-street-seatoun,2 days ago,"3 Hector Street, Seatoun",Deadline Sale,4.0,4.0,298.0,,
https://www.realestate.co.nz/42724141/residential/sale/23-lanyon-place-whitby,2 days ago,"23 Lanyon Place, Whitby",Deadline Sale,4.0,3.0,903.0,,
https://www.realestate.co.nz/42724135/residential/sale/15-archbold-street-newlands,2 days ago,"15 Archbold Street, Newlands",Deadline Sale,3.0,1.0,794.0,,
